Частота. Гц,Re. Ом,Im. Ом
8300.811052,719690.826180,316813.172788
7744.073868,759150.742965,329454.504484
7224.708796,763106.542929,323990.661927
6740.123034,779142.131780,294505.919331
6288.081408,761185.372219,312199.067548
5866.348743,24090.481865,9871.421306
5472.868681,772142.825010,241003.263046
5105.853081,750493.566553,264711.176567
4763.334990,792380.465222,264638.656236
4443.883896,747958.147536,254412.927976
4145.801067,795560.156453,257803.729725
3867.745399,833693.923079,245853.372704
3608.375788,859784.811097,156653.205246
3366.351128,838794.453709,187447.017038
3140.598536,893216.794913,219474.769626
2929.955721,780681.797014,170972.669806
2733.439207,817830.612012,188400.098402
2550.065517,830953.860566,206598.736038
2379.029989,821561.641355,163160.152176
2219.527960,886694.511270,165017.517494
2070.665359,857489.990710,117001.018357
1931.726933,947519.308654,171121.082433
1802.176237,935248.267924,144346.694950
1681.298018,927688.118866,192715.223724
1568.555832,979099.193014,126499.564167
1463.323832,919260.351580,245808.208509
1365.244389,885298.616582,158431.111990
1273.691654,872145.254757,188674.759149
1188.218594,926456.016268,158967.018507
1108.556986,904355.082629,37330.439757
1034.170389,891360.794712,147770.318618
964.790583,1009483.273033,115661.127807
900.149345,978506.865935,155775.700417
839.710236,992686.215538,133401.271935
783.383846,1001717.360609,117817.048906
730.901957,893848.575907,16898.543217
681.817532,878822.412191,34832.465446
636.130571,836675.196377,202405.393463
593.483448,789274.955380,72336.515016
553.697348,808997.239231,23503.089461
516.504049,795962.907584,66367.925244
481.903553,821429.546059,129911.592182
449.538231,858902.383318,240817.236420
419.408083,45735.202231,271747.759386
391.244888,935856.544606,95450.722240
365.048647,717472.355898,-2703.702958
340.551138,539164.823952,169590.060812
317.752361,523983.580276,121948.859003
296.384096,659356.710101,185137.419790
276.535749,507119.256967,7047.969675
257.939100,920738.881263,92310.147261
240.683556,967245.226936,280056.466839
224.500895,845172.289733,211038.971965
209.480524,689333.120634,-254170.489387
195.443630,969570.870178,-226153.841653
182.300806,308693.338452,172861.595231
170.052052,-23535.798834,223012.797992
158.697367,94649.342848,46584.801581
148.057938,190010.329571,4172.415177
138.133764,247957.428384,-17546.579342
128.835440,208849.098930,-12840.680936
120.162964,1129565.514910,109355.763314
112.116337,1145402.523188,176198.740619
104.606152,1181351.632947,127488.495814
97.632408,1166374.929183,145827.585699
91.016293,-8017.273562,156948.474827
84.936619,-13435.612561,-19115.218082
79.214573,-24986.433416,29187.584768
73.939562,-21591.120912,956.934490
69.022179,-22677.098919,860.319560
64.373016,7098.178615,19044.787235
59.992075,-39431.154881,-1176.949052
55.968761,-25924.059572,-2650.534589
52.213669,-29610.125332,7267.401646
48.726797,-11790.538935,-10854.493215
45.508146,-28835.039416,-6445.319638
42.468309,14134.826275,-1890.372233
39.607286,-15973.357349,8922.995765
36.925077,-26512.197678,-7909.036279
34.421682,9923.914072,16946.887899
32.097101,-12829.801549,-2237.806496
29.951334,1268802.342812,469894.005343
27.984381,1380955.807175,22105.254088
26.106834,1332679.651069,98697.798296
24.318695,1290576.981382,145471.304076
22.709370,1109855.277414,71295.082436
21.189451,961707.025143,324262.096479
19.758940,661914.266449,131515.255331
18.417835,1283960.336105,102342.727884
17.166138,1279030.785484,79125.153336
16.093254,1297676.901875,140808.916133
15.020370,1346144.866754,110939.894802
13.947487,1341977.059773,104960.300240
13.053417,1330857.797173,130688.661652
12.159348,1346150.766196,126157.014498
11.354685,1350841.724168,141996.451326
10.550022,1363182.491334,48740.279645
9.834766,1350662.589765,128889.401913
9.208918,1370410.885053,71373.066887
8.583069,1401038.552051,121932.701311
8.046627,1382868.126451,134733.163512
7.510185,1382470.897790,121971.274777
6.973743,1387848.502386,109674.003692
6.526709,1402219.496897,116165.519998
6.079674,1399949.610379,124002.859508
5.632639,1398153.348801,117566.725193
5.275011,1452911.151554,80176.852379
4.917383,1410530.623310,118616.796033
4.559755,1404443.509453,120900.451791
4.291534,1425754.643787,122877.584673
4.023314,1392560.878972,109221.362879
3.755093,1421539.745010,118532.806244
3.486872,1431559.394112,118814.364946
3.218651,1435060.084702,123401.003694
3.039837,1438419.621811,113268.956270
2.861023,1378783.696799,178285.925346
2.682209,1448603.044553,125737.011908
2.503395,1451275.440980,109803.851752
2.324581,424783.478974,-14082.071905
2.145767,1472810.530483,119860.722824
1.966953,1473280.179926,124479.770541
